Stage,Päivä,Aloitus,Lopetus,Mitä
Päälava,Perjantai,20:30,22:00,Likainen Alapää
Päälava,Perjantai,22:00,23:00,Konna
Päälava,Perjantai,23:00,0:00,Østhøvel
Päälava,Lauantai,0:00,1:00,Mari Mur
Päälava,Lauantai,1:00,2:00,hemone
Päälava,Lauantai,2:00,3:30,Sweatshop bois
Päälava,Lauantai,3:30,,Pace
Päälava,Lauantai,20:00,21:00,Tsurba
Päälava,Lauantai,21:00,22:00,Slow Cloud
Päälava,Lauantai,22:00,0:00,Pyöreän Pöydän Ritarit
Päälava,Sunnuntai,0:00,1:00,Stereotyyppi
Päälava,Sunnuntai,1:00,2:00,2sacks
Päälava,Sunnuntai,2:00,3:00,DJ FIRSTNAME LASTNAME
Päälava,Sunnuntai,3:00,,Clippin'
Päälava,Torstai,20:00,21:00,Open deck
Päälava,Sunnuntai,18:00,,Päälavan purkubileet
,,,,
Työpaja,Torstai,16:00,18:15,Luontoretki
Työpaja,Torstai,19:15,19:45,Lungs stretching and breath hold
Työpaja,Perjantai,19:30,20:00,Seremonia
Työpaja,Perjantai,12:00,15:00,Pyöräretki
Työpaja,Perjantai,15:30,16:45,Retki Voimapuulle
Työpaja,Lauantai,15:00,16:00,Cassette looping
Työpaja,Lauantai,17:00,18:00,Kangaskassiraati
Työpaja,Sunnuntai,14:00,15:00,Duellen tietovisa
Työpaja,Lauantai,13:00,14:00,Jooga
Cafe Disco,Perjantai,16:00,17:00,Open deck
Cafe Disco,Perjantai,17:00,18:00,Konsta
Cafe Disco,Perjantai,18:00,19:00,Solaris
Cafe Disco,Perjantai,19:00,19:30,Open deck
Cafe Disco,Lauantai,14:00,15:00,Lazy-L
Cafe Disco,Lauantai,15:00,16:00,Open deck
Cafe Disco,Lauantai,16:00,17:00,DJ FIRSTNAME LASTNAME
Cafe Disco,Lauantai,17:00,18:00,Open deck
Cafe Disco,Lauantai,18:00,19:00,Durak
Cafe Disco,Sunnuntai,13:00,19:00,Open deck
Ruoka,Torstai,17:30,20:30,"Hernekeitto , Vegaanisena taikka Savulampaalla höystettynä. Lisäksi ehtaa ruisleipää. Mahdollisesti lettu/pannukakku jälkkäri
"
Ruoka,Perjantai,17:30,20:30,Pasta Ragù d'orto (Suomennettuna kasvisbolognesepasta) Lisäksi salaattia ja patonkia.
Ruoka,Lauantai,17:00,20:00,"Tofu Bowl - Riisiä ja paistettua tofua. Lisukkeita maun mukaan
"
Ruoka,Sunnuntai,14:30,17:30,"Vegeburgeri & Uunijuureksia, Burgeri täytetään toivomallasi tavalla"
